14963
a	a.一,一个,一只,一件.
polytechnic	a.各种工艺的,综合技术的n.工艺学校
pommel	v.殴打
pomp	n.壮丽,盛观,夸耀
pompeii	n.庞贝(地名)
pompey	n.庞培[罗马将军]
pomposity	n.自大,傲慢
pompous	a.傲慢的,自大的,夸大的
poncho	n.斗篷,雨衣
pond	n.池塘
ponder	v.沉思,考虑
ponderable	a.可秤的,有重量的,有价值的
ponderous	a.笨重的,笨拙的
pone	n.玉米饼
poniard	n.匕首,短剑
pontifical	a.自以为是的,武断的
pontificate	v.自大武断地做,装模作样的说话
pony	a.小型的n.小马
ponytail	n.(女子的)马尾发(型)
pooch	n.狗
poodle	n.狮子狗v.剪毛
pooh	int.轻视之声
pool	n.池,水塘,撞球
pools	n.每周足球普尔
poor	a.可怜的,贫穷的
poorly	ad.贫穷地,不充份地,贫乏地a.身体不舒服的,心情恶劣的
pop	n.取出,砰然声,流行乐曲a.流行的,热门的,通俗的v.取出,发出爆裂声,突然伸出
popcorn	n.爆米花
pope	n.罗马教皇
poplar	n.白扬,白扬木
popper	服药成瘾者；弄出砰然
poppy	n.罂粟,深红色
populace	n.平民,大众
popular	a.大众的,流行的,有销路的
popularity	n.普及,流行
popularize	v.普及,宣传
popularly	ad.一般地,通俗地,平易地
populate	v.构成人口,居住于
populated	粒子数增加的
population	n.人口
populist	n.平民主义者,平民论者
populous	a.人口多的,人口稠密的
pop-up	弹出式
porcelain	n.瓷器,瓷adj.瓷制的,精美的,脆的
porch	n.门廊
porcine	a.猪的,似猪的
porcupine	n.豪猪,箭猪
pore	n.毛孔,小孔v.熟读,熟视,细想
pork	n.猪肉
porky	n.波奇猪
porn	n.<口>(=pornography)色情文学,色情描写
pornographic	a.春宫画的,黄色文学的
pornography	n.色情文学,色情描写
porous	a.可渗透的,多孔的
porphyry	n.斑岩
porpoise	n.海豚
porridge	n.粥,麦片粥
port	n.港口,（计算机）端口v.移植,传输
portability	可移植性,可携带,轻便
portable	a.轻便的,手提式的n.手提打字机
portal	n.入口,大门
portend	v.成为...的前兆,预知,给与...的警告
portent	n.前兆,预示,异常之物
portentous	a.前兆的,不吉的,可惊的
porter	n.搬运工人,守门人，门房
portfolio	n.文件夹,证券投资组合
portico	n.柱廊的门廊
portion	n.部分,份,命运v.将...分配,分配
portly	a.肥胖的,庄严的
portrait	n.肖像,画像
portraiture	n.肖像画家,肖像画,人物描写
portray	v.描写,描写...的肖像,逼真地描写
portrayal	n.描绘
portugal	n.葡萄牙
portuguese	n.葡萄牙人,葡萄牙语a.葡萄牙的,葡萄牙人的,葡萄牙语的
pose	n.姿势,姿态,装模作样v.摆姿势,装模作样,提出...讨论
poser	n.不易处理之事
poseur	n.装模作样的人
posh	a.漂亮的,时髦的
posit	v.假定,认为
position	n.位置,职位,状态v.安置,决定...的位置
positive	a.肯定的,积极的,绝对的a.正面的,正数的,阳性的
positively	ad.必定(确定,确实地,断然,绝对,积极地)
positiveness	n.肯定,信心
posse	n.(为追捕罪犯而组成的)民防团
possess	v.持有,克制,为...著迷
possessed	a.疯狂的
possession	n.财产,所有,拥有
possessions	n.财产
possessive	n.所有格a.所有的
possibility	n.可能性
possible	a.可能的
possibly	ad.可能地,也许
possum	n.[口]负鼠vi.装病
post	n.邮件,标竿,职位v.邮递,公布,布置
postage	n.邮费,邮资
postal	a.邮政的n.[美]明信片
postbox	n.邮箱
postcard	n.明信片
postdate	vt.把日期填迟
postdoctoral	a.博士学位取得后的
posted	通报
poster	n.海报,招贴,脚夫v.贴海报于
posterior	a.(在时间,次序上)较后的
posterity	n.后代
postfix	后缀
postgraduate	n.研究生a.大学毕业后的
posthumous	a.死后出版的
posting	记入，记录
postman	n.邮递员
postmark	n.邮戳v.盖邮戳
postmaster	n.邮政局(所)长
postmortem	a.死后的n.尸体检查,验尸,检视
postpone	v.延期vt.推迟,延期
postprandial	a.餐后的
postscript	n.附笔
postulate	n.假定,基本条件v.要求,假定
posture	n.姿势,态度,情形v.作...姿势,作姿势
posy	n.小花束
pot	n.罐,壶v.把...装罐
potable	a.适于饮用的
potassium	n.钾
potation	n.畅饮,饮料
potato	n.马铃薯,土豆
potbelly	n.大肚皮,大腹
potency	n.权势(效力,潜能)
potent	a.强有力的
potentate	n.有权的人,有势力的人,统治者
potential	a.可能的,潜在的n.潜力,潜能n.电位，电势
potentiality	n.可能力,潜在力,可能性
potentially	ad.潜在地
potentiate	n.统治者,当权者v.赋与力量,加强
pother	n.烦恼,喧闹
pothole	n.vi.锅穴,探索洞穴
potion	n.一服,一剂
potpourri	n.混合香料(混合物,杂录)
potter	n.陶工,陶艺家
pottery	n.陶器
potting	n.制陶(封装)
pouch	n.小袋,小包,眼袋v.装...入袋中,成袋状
pouched	a.袋形的,有袋的
poultice	n.敷于伤处缓痛的膏药
poultry	n.家禽
pounce	n.猛扑v.猛扑,突然袭击,欣然同意
pound	n.磅,英镑v.(连续)猛击,捣碎vt.猛击,敲打,跳动
pounding	n.重击声
pour	n.流出,倾泻,骤雨v.倒,倾泻,蜂涌而来
pout	n.噘嘴v.噘嘴,绷脸
poverty	n.贫穷,贫困
powder	n.粉,粉末v.洒粉于
powdered	a.弄成粉末状的(研成粉末的)
power	n.力量,势力,动力v.使...有力量,供以动力,激励
powerful	a.强有力的
powerfully	ad.非常地,强有力地
powerless	a.无力的,无权的,无效能的
pox	n.发疹的疾病
ppm	每分钟页数,百万分之...
practicable	a.可实行的,可做的,可用的
practical	a.实际的,实用的
practicality	n.实际,实用,实用性,实际的事情
practically	a.实际地,几乎ad.几乎,简直,实际上
practice	n.练习,实行,习惯v.练习,实习,开业
practiced	a.熟练的,老练的
practise	vt.实践(使...练习,养成...的习惯)
practitioner	n.从业者
pragmatic	a.实际的,实用主义的
pragmatics	语用学,语用论
pragmatism	n.实用主义
pragmatist	n.实用主义者,爱管闲事的人
prairie	n.大草原
praise	n.赞美,称赞,崇拜v.称赞,归荣誉于,赞美
praiseworthy	a.值得赞许的
pram	n.婴儿车,送牛奶用的手推车
prance	n.(马)后足立地腾跃,昂首阔步vi.腾跃,欢跃,昂首阔步vt.使腾跃
prank	n.开玩笑,恶作剧,戏谑v.盛装,装饰,打扮
prate	v.唠唠叨叨的讲,闲聊,大谈n.唠叨,多嘴,无聊话
prattle	v.小孩般说话,说半截话,闲聊n.半截话,无聊话
prawn	n.对虾,明虾
pray	v.祈祷,祈求,请求,恳求
prayer	n.祈祷,祷告,祷文v.祷告,祷文
preach	v.传道,讲道,说教
preacher	n.传道者,讲道者,牧师
preaching	a.说教的n.说教
preachy	a.说教的
preamble	n.前文,序文,前言
prearrange	v.预先安排,预先协定,预定
prebuilt	预建的
precarious	a.不确定的,危险的
precariously	ad.危险地,不稳固地
precaution	n.预防,留心,警戒
precautionary	a.预先警戒的,预防的,留心的
precede	v.在...之前,优于,较...优先
precedence	n.优先,居先
precedent	a.在前的,在先的n.先例,前例
precedents	引用单元格
preceding	a.在前的,在先的
precept	n.教训,告诫,训诫
preceptor	n.教师
precinct	n.选区,管理区,管辖区域
preciosity	n.过于讲究,矫揉造作
precious	a.宝贵的,珍贵的
precipice	n.断崖,绝壁,险境
precipitate	n.沉淀物v.使...陷入,促成,使...沉淀
precipitation	n.坠落,沉淀,凝结;冰雹
precipitous	a.险峻的(突然的,急躁的)
precise	a.精确的,准确的
precisely	ad.精确地
precision	a.精确的n.精确,精密度
preclude	v.预先排除
precocious	a.早熟的
precognition	n.预感,早知
preconceive	vt.预先形成
preconceived	a.(思想、观点等)事先形成的
preconception	n.预想(先入之见,偏见)
precondition	v.事先具备条件,事先训练n.先决条件
precursor	n.先驱者,前导,先进者
predate	n.在日期上早于
predator	n.食肉动物
predatory	a.掠夺的,进行掠夺的,捕食生物的
predecessor	n.前辈,前任
predestination	n.命运,造化
predestine	v.注定
predetermine	v.预先决定
predicament	n.状态,穷境,困局
predicate	n.述语a.述语的v.断定为,意味
predication	n.声明
predicative	n.表语
predict	v.预知,预言,预报
predictable	a.可预言的
predictably	ad.可预言地
prediction	n.预言,预报
predictive	a.预言的,预兆的
predictor	n.预言者
predilection	n.偏好
predisposition	n.易患病的体质倾向;素质
predominance	n.卓越,优势,控制
predominant	a.优越的,卓越的,有力的
predominantly	ad.优越地,卓越地,主要地
predominate	v.掌握,控制,成为主流
preeminence	n.杰出,卓越
preeminent	a.优秀的,超群的,卓越的
preempt	vt.优先购买(先取)
preemption	n.先买
preemptive	a.优先购买的
preen	v.整理羽毛,(人)打扮修饰
prefabricate	vt.预先建造组合
preface	n.序文,绪言,前言v.作序,写前言,以...开始
prefatory	a.前言的,序文的
prefer	v.较喜欢,宁可,提出
preferable	a.更好的,更合意的
preferably	ad.宁可,宁愿,较好
preference	n.偏爱,优先,喜爱物
preferential	a.先取的,优先的,选择的
preferred	首选的
prefigure	v.预示,预表,预想
prefix	n.前缀vt.加...作为前缀,置于前面
pregnancy	n.怀孕
pregnant	a.怀孕的vt.怀孕
prehensile	a.(足等)适于抓握的
prehistoric	a.史前的
prejudice	n.偏见,成见,伤害v.使...存偏见,使...有成见,伤害
prejudiced	a.怀偏见的,偏头的
prejudicial	a.存有偏见的,偏心的,有害的
preliminary	n.初步行动,准备,初步措施a.初步的,开始的,预备的
preliterate	a.无文字记录的,文字以前的
prelude	n.序幕,前奏
premarital	a.婚前的
premature	a.早熟的,过早的,不按时的n.早产儿,早发
prematurely	ad.过早地,早熟地
premed	n.医学预科生
premedical	a.医学预科的
premeditate	vt.预谋
premeditated	a.预先想过的,预谋的,有计划的
premeditation	n.术前用药
premier	n.总理,首相a.第一的,首位的,最初的
premiere	v.初次公演,初演主角
premise	n.前提v.提论,预述
premises	n.前提v.立前提
premium	n.额外费用,奖金,保险费
premonition	n.预告,预感,徵兆
premonitory	a.前兆的,预告的
prenatal	a.产前的,出生前的
prenuptial	结婚前的,婚礼前的
preoccupation	n.先取,先入成见,偏见
preoccupied	a.心事重重的,出神的
preoccupy	v.先占领,先取,迷住
preordain	v.预定,预先注定
prep	n.(口语,preparatory的缩写形式)预备
preparation	n.准备
preparatory	a.预备的,准备的,初步的
prepare	v.准备,预备
prepared	a.有准备的(特别处理过的)v.准备
prepay	v.预付
preponderance	n.优势,多数
preponderant	a.以重胜的,优势的,压倒性的
preponderate	v.以重量胜过,占优势,胜过
preposition	n.介词
prepossessing	a.讨人欢喜的,有魅力的,给人好感的
preposterous	a.荒谬的,可笑的
preppy	n.大学预科生
preprint	n.出版前的非正式样本v.预先印好
preprocess	预处理
preprocessor	预处理程序,预处理器
prepubescent	a.青春期前的
prepunch	预先穿孔
prerequisite	n.先决条件
prerogative	a.(有)特权的n.特权
presage	n.预感,预兆,预知v.成为...的前兆,预示,预言
presbyterian	a.[宗]长老会(制)的
preschool	a.未满学龄的,就学前的n.育幼院,幼稚园
preschooler	n.（美）学龄前儿童
prescience	n.预知,先见
prescient	a.有先见之明的
prescribe	v.规定,命令,开药方
prescribed	a.规定的
prescript	n.命令,规定
prescription	n.药方
presence	n.出席,在场
present	n.礼物,现在a.现在的,出席的,当面的v.赠送,提出,呈现
presentation	n.陈述,介绍,赠与n.[美]讲课,报告
present-day	a.当前的,当代的
presenter	n.赠送的,呈献者,提出者
presentiment	n.预感,预觉
presently	ad.不久,一会儿,现在,目前
preservation	n.保存
preservative	a.保存的,有保存力的,防腐的n.预防法,预防药,防腐剂
preserve	v.保护,保持,维持,防腐,做蜜饯
preset	v.事先调整
preside	v.任主席,统辖,当主人
presidency	n.总统职位,总裁职位,主席职位
president	n.(国家)总统,(公司)总裁,总经理,社长(日本)
presidential	a.总统的
press	n.新闻界,压力v.按,压
pressing	a.紧迫的,紧急的,切实的vbl.压迫
pressure	n.压力,压强,压迫
pressurize	vt.增压(密封,使...压入)
prestidigitation	n.变戏法,手法敏捷
prestige	n.威望,声望
prestigious	a.享有声望的,声望很高的
prestissimo	ad.&a.最快的（地）
presto	ad.&a.急速的（地）n.(音乐)快拍,急速
preston	普雷斯顿
presumable	a.可推测的,可能有的,似真的
presumably	ad.推测上,假定上,大概
presume	v.假定,推测,占便宜
presumption	n.推测,可能性
presumptuous	a.放肆的,冒昧的,冒失的
presupposition	n.预先假定,臆测
pretence	n.假装(自命,无事实根据的要求)
pretend	v.假装,伪称
pretended	a.假的,虚伪的
pretender	n.冒充者,假冒者
pretense	n.藉口,虚假,伪装
pretension	n.借口,要求,主张,自负,骄傲,权力,资格,预紧,预伸,预拉
pretentious	a.自负的,自命不凡的
pretentiousness	n.自命不凡
preternatural	a.异常的,超自然的
pretext	n.借口
prettily	ad.可爱地
pretty	a.漂亮的ad.相当地
prevail	v.获胜,流行,盛行
prevailing	a.盛行很广的,一般的,最普通的vbl.获胜,盛行,流行
prevalence	n.传播,流行,普及
prevalent	a.流行的,普遍的
prevalently	ad.流行地,普遍地
prevaricate	v.支吾其辞,搪塞,推诿
prevent	v.预防,防止
prevention	n.阻止,妨碍,预防
preventive	a.预防的n.预防法
preview	n.事先查看,查阅v.事先查看,查阅
previous	a.在...之前,先,前,以前的
previously	ad.以前(预先)
prevision	n.先见,预感
prey	n.被掠食者,牺牲者v.捕食,掠夺,使...苦恼
price	n.价格,代价,价值v.定...的价格,标价
priceless	a.无价的
pricey	a.昂贵的,过分昂贵的
pricing	n.定价
prick	v.刺,穿,受责备n.扎,逗点,锥
prickle	n.(动物或植物上的)刺,棘v.刺痛
prickly	a.多刺的,易生气的
pride	n.自傲,自豪,自尊v.以...自豪
priest	n.教士,神父
priestess	n.尼,尼姑,女祭司
prig	n.自以为比别人更有道德的人
prim	a.规规矩矩的,呆板的,拘谨的v.弄整齐,地把嘴闭紧
primal	a.最初的,原始的
primarily	ad.首先,主要地
primary	n.最主要者a.主要的,初期的,根本的
primate	n.灵长目动物
primavera	n.白桃花心木(中美洲出产的一种树木或其木材)
prime	a.首要的,最好的n.青春,壮年,全盛时期
primer	n.启蒙书,识字课本
primeval	a.原始的,早期的,远古的
primitive	a.原始的n.原始人
primogeniture	n.长子之身分
primordial	a.原始的,自原始时代的,最初的
primp	v.(妇女)刻意打扮
primrose	n.樱草类,樱草花,樱草色a.樱草的,樱草色的,华美的
prince	n.王子,亲王
princely	a.王子的,像君主的,壮丽的
princess	n.公主,王妃
princeton	n.普林斯顿
principal	a.主要的n.负责人,校长,资本
principality	n.封邑,公国
principally	ad.主要地
principle	n.原则,原理,主义,信念
print	n.版,印刷物,印迹v.印刷,出版,打印
printable	可印刷的
printer	n.打印机
printing	n.印刷,印刷术vbl.印刷
printout	打印输出
prior	a.更重要的,较早的,在先的ad.居先
prior	to在...之前
priority	n.优先权,优先顺序,优先
priory	n.小修道院
prism	n.棱镜
prison	n.监狱
prisoner	n.囚犯
prissy	a.谨小慎微的,神经质的,为小事挂虑的
pristine	a.原来的,古时的,原始的
privacy	n.隐私,隐居,秘密
private	a.私人的n.士兵
privately	ad.私下(秘密地)
privation	n.丧失,贫困
privilege	n.特权,特别恩典,基本人权v.给与...特权
privileged	a.有特权的
privy	a.个人的n.厕所(有利害关系的人)
prize	n.奖,奖品,战利品v.珍视,捕获
pro	n.能手(赞成)ad.正面地
probabilistic	概率性的
probability	n.可能性,或然率,机率
probable	a.很可能的n.很可能的事
probably	ad.大概,或许
probation	n.缓刑
probe	n.探针,调查,探测针v.用探针测,详细调查
probing	a.好探索的,尖锐的
probity	n.诚实,廉洁,正直
problem	a.成问题的n.问题
problematic	a.问题的,有疑问的
problematical	a.成问题的,有疑问的
proboscis	n.鼻子,长嘴,吻
procaine	n.普鲁卡因
procedural	a.程序的
procedure	n.程序,手续,步骤
proceed	v.著手进行,继续进行
proceeding	n.进行,行动,诉讼程序vbl.著手进行,继续进行,肇始
proceedings	n.公报,进程,过程,议程,诉讼(程序)
proceeds	n.收益
process	n.过程v.加工vi.列队前进vt.加工,处理
processing	n.数据处理(整理,配制,工艺设计)
procession	n.队伍,行列v.列队行进
processor	n.处理器,处理机
proclaim	v.宣布,公告,宣言
proclamation	n.宣言,公布,文告
proclivity	n.倾向,癖性
procrastinate	v.延迟,迁延,耽搁
procrastination	n.拖延,耽搁
procreate	vt.生(儿,女),生殖,产生vi.生殖,生育
procrustean	a.强求一致的
proctor	n.代理人,学监
procure	v.获得,取得,促成
procurement	n.取得(征购,斡旋,促成)
prod	n.刺针,刺棒,签子v.戳,刺,刺激
prodigal	a.挥霍的n.挥霍者
prodigious	a.巨大的,奇异的n.奇迹
prodigy	n.惊人的事物,不凡的人,神童
produce	n.产品,农产品v.产生,生产,提出
producer	n.生产者
product	n.产品,成果,乘积
production	n.生产,产品,作品,成果
productive	a.能生产的,有生产价值的,多产的
productively	ad.多产地
productivity	n.生产率,生产能力
profane	a.世俗的,不敬神的,亵渎的v.亵渎,玷污
profanity	n.沾污神圣不敬,亵渎,该受惩罚的言语
profess	v.声称,以...为业,伪称
profession	n.职业,专业
professional	a.职业的,专业的n.专业人员
professionally	ad.职业上,专业上
professor	n.教授
proffer	v.提供n.提供,提出,提供物
proficiency	n.熟练,精通
proficient	a.熟练的,精通的n.能手,专家
proficiently	ad.熟练地
profile	n.侧面,轮廓,人物素描v.描绘...轮廓,评论人物n.概要,人物简介
profiling	程序概要分析
profit	n.利润,赢利,利益v.有益,获利,赚钱
profitability	n.收益性,利益率
profitable	a.有益的,有用的
profiteer	n.获暴利的人,奸商v.获暴利,赚大钱
profitless	无益的
profligate	a.放荡的,不检点的,浪费的n.放荡者,享乐者
profound	a.极深的,深奥的,深厚的
profoundly	a.深深地,深远地,非常地ad.深深地
profundity	n.深奥,深刻
profuse	a.很多的,丰富的,浪费的
profusion	n.丰多,大量
progenitor	n.祖先,先辈,原著
progeny	n.子孙(结果,次级粒子)
prognathous	a.下巴突出的
prognosis	n.预知,预测,预后
prognostic	预兆
prognosticate	v.预知,预言,预测
program	n.节目,程序,计划v.规划,拟...计划,制作节目
programer	n.项目,程序制定者
programing	n.程序编排
programmable	可编程的
programme	n.节目,程序,规划v.为...规划程序,拟...节目,制作节目
programmed	程序的,程控的
programmer	n.程序员,程序规划员
programming	n.规画,设计vbl.规画,设计
progress	n.进步,发展,前进v.促进,进步,进行
progression	n.前进
progressive	a.进步的,前进的n.进步人士
progressively	ad.渐进地,逐渐地
prohibit	v.禁止,阻止vt.禁止
prohibition	n.禁止
prohibitive	a.禁止的,禁制的,类同禁止的
project	n.工程,项目,计划,事业v.计划,设计,表达v.投射,放映,凸出
projectile	n.发射体,抛射物a.发射的,投射的
projection	n.发射,计画,突出部分
projector	n.放映机(探照灯,发射装置,设计者,制图投射线)
proletarian	a.普罗阶级的,无产阶级的n.普罗,无产者
proliferate	vt.增殖(增生,使...激增,使...扩散,迅速扩大)
proliferation	n.增殖,分芽繁殖
prolific	a.多产的
prolix	a.罗嗦的,冗长的
prologue	n.开场白,序言,序幕v.说开场的,加上...前言
prolong	v.延长,拖延
prolonged	a.持续很久的(长时期的,长时间的)
prom	n.可编程序的只读存储器(程序可控只读存储器)
promenade	n.散步,骑马,舞会v.漫步,骑马
prometheus	n.[希神]普罗米修斯
prominence	n.突起,突出,突出物
prominent	a.杰出的,显著的,突出的
prominently	ad.显著地
promiscuity	n.混乱,杂乱,放荡
promiscuous	a.杂乱的,混杂的,混淆的ad.偶然地,胡乱地
promise	n.诺言,约定,希望v.允诺,约定,预示
promised	Land上帝允许给亚伯拉罕的地方乐土福地希望之乡
promisee	n.承诺人,受约人
promises	n.承诺v.允诺
promising	a.有希望的,有前途的
promissory	a.约定的
promontory	n.海角,岬
promote	v.促进,提升,升迁,促销
promoter	n.促进者,助长者
promotion	n.促进,提升,推广
promotional	a.推销的
prompt	n.提示a.迅速的,敏捷的,立刻的vt.激起,促进,推动
prompting	n.刺激,激励,暗示
promptly	ad.敏捷地,迅速地
promptness	n.敏捷,迅速
promulgate	v.发布,公布,发表
pronate	v.使(手掌)转向下
prone	a.俯卧的,易于...的,有...倾向的
pronoun	n.代词
pronounce	v.发音,宣告,断言
pronounced	a.显著的,断然的,明白的vbl.发音,宣告,断言
pronouncement	n.宣布,宣告,声明,判决
pronunciation	n.发音
proof	a.防...的,耐...的n.校样,证据,证明v.检验,校对vt.检验
proofread	v.校对
proofreader	n.校对员
prop	n.支柱,支持者,倚靠人v.支撑,维持
propaganda	n.宣传
propagandist	n.传播者,宣传者
propagate	v.繁殖,传播,传送
propagation	n.增殖,繁殖,广传
propane	n.丙烷
propel	v.推进,驱使
propellent	a.推进的
propeller	n.螺旋桨,推进器
propensity	n.倾向,习性
proper	a.适当的,正确的,合适的,正当的,规矩的
properly	ad.适当地,相当地,当然地
property	n.财产,性质
prophecy	n.预言,预言能力
prophesy	v.预言,预报
prophet	n.预言者,先知,提倡者
prophetic	a.预言的,先知的,预示的
prophylactic	a.预防疾病的
propinquity	n.邻近,亲近
propitiate	v.慰抚,安抚,和解
propitiatory	a.讨好的,调解的
propitious	a.顺利的,适合的,吉祥的
proponent	n.建议者,支持者
proportion	n.比例,均衡,部份
proportional	a.成比例的,相称的n.[数]比例项
proportionally	ad.按比例(配合着,相应地,比较地)
proportionately	ad.相称地,成比例地
proposal	n.求婚,提议,建议
propose	v.计划,打算,向...提议
proposed	被提议的
proposition	n.建议,命题,主张v.向...提议,向...调情
propound	v.提出(问题)vt.提议
proprietary	a.专利的(所有的)n.所有权(所有人)
proprietor	n.所有者,经营者
proprietorship	n.所有权
propriety	a.适当n.礼节,适当
propulsion	n.推进,推进力
propulsive	a.推进的,有推进力的
prorogue	v.休会,延期
prosaic	a.单调的,无趣的
proscenium	n.舞台前部(幕前部分)
proscribe	vt.不予法律保护(排斥)
proscription	n.剥夺人权,处罚的宣告,放逐
prose	a.散文的n.散文
prosecute	v.进行,实行,起诉
prosecuted	a.被起诉的
prosecution	n.实行,经营,起诉
prosecutor	n.实行者,追诉者,告发者
proselyte	n.皈依者,改变宗教信仰者
proselytize	v.使改宗,劝诱改宗
prosody	n.诗体论,韵律学,作诗法
prospect	n.景色,希望,展望v.探勘,寻找
prospecting	n.勘探
prospective	a.未来的,预期的
prospector	n.探矿者,投机家
prospects	n.希望,前途(恒为复数)
prospectus	n.创立计划书,内容说明书,样张
prosper	v.兴隆,成功,使...昌盛
prosperity	n.繁荣,兴旺
prosperous	a.繁荣的,兴旺的
prostate	n.前列腺
prostitute	n.妓女
prostitution	n.卖淫
prostrate	a.拜倒的,降伏的,伏地的v.弄倒,使...屈服,俯伏
protagonist	n.主演,主角,主唱者
protean	a.Proteus的,千变万化的,变化不定的
protect	v.保护
protected	受保护的
protection	n.保护
protectionism	n.贸易保护主义
protective	a.保护的,防卫的
protector	n.保护者,保护物,保护装置
protege	n.被保护者
protein	a.蛋白质的n.蛋白质
protest	n.抗议,反对v.反对,抗议,断言
protestant	n.新教,新教徒a.新教的
protestantism	n.新教教义
protocol	n.草案,协议,礼仪vt拟定议定书
proton	n.质子
protoplasm	n.原形质
prototype	n.原型
protozoan	n.原生动物
protract	v.延长,托长,伸出
protractor	n.分度器,伸肌,伤处异物摘出器
protrude	伸出,突出
protrusion	n.隆起物,突出,伸出,突起部
protrusive	a.伸出来的,突出的
protuberance	n.节疤,突出,凸出
protuberant	a.突出的,隆起的
proud	a.骄傲的,自豪的
proudly	ad.傲慢地,自大地,得意洋洋地
prove	v.证明,查验,显示
proven	vbl.证明
provenance	n.出处,起源
provender	n.粮草,秣,食物
proverb	n.谚语,格言
proverbial	a.谚语的,如同谚语的
provide	vi.供给,提供vt.提供
provided	conj.假如,若是
providence	n.天意,天命,上帝
provident	a.有先见之明的,有远虑的,节俭的
providential	a.幸运的
provider	n.供应者
providing	conj.只要
province	n.省
provincial	n.乡下人,地方人民a.省的,地方的,偏狭的
provincialism	n.乡下习气,地方风格,土腔
provision	n.规定,条款n.准备,食物,供应品
provisional	a.暂时的,暂定的,临时的
provisions	n.粮食,食品
proviso	n.附文,条件
provisory	a.有附文的,有附带条件的,暂时的
provocation	n.激怒,刺激,挑拨
provocative	a.气人的,挑拨的,刺激的n.刺激物,挑拨物,兴奋剂
provoke	v.激怒,惹起,驱使
provoking	a.激怒人的,刺激人的
prow	n.(飞机)机头,船头
prowess	n.英勇,勇敢,超凡技术
prowl	n.潜行,徘徊,悄悄踱步v.潜行以觅食,窥伺,逡巡于
proximate	a.最接近的,直接的
proximity	n.接近,亲近
proximo	a.下月的
proxy	n.代理,代理人,取代物
prude	n.装成规矩的女人,过份正经,谦虚的女人
prudence	n.审慎,慎重,精心明辨
prudent	a.谨慎的
prudery	n.过分守礼,假正经
prudish	a.装淑女样子的,装规矩的,过份规矩的
prune	n.干酶子,酶干v.修剪,砍掉,删除
pruning	修剪
prurience	n.好色,淫乱
prurient	a.好色的,淫乱的
prussia	n.普鲁士
prussian	a.普鲁士的,普鲁士语的,普鲁士式的n.普鲁士人,普鲁士语
pry	n.杠杆v.打听,窥探,用杠杆撬开
ps	n.客轮(马力,计划研究,转辙器尖,极化音响器)
psalm	n.圣诗,圣歌,诗篇
psephology	n.选举学
pseudo	假的,冒充的
pseudonym	n.匿名,假名,笔名
pseudopod	n.假足,伪足
psyche	n.赛克,灵魂,精神
psychedelic	a.引起幻觉的n.迷幻药
psychiatric	a.精神病的
psychiatrist	n.精神病医师,精神病学家
psychiatry	n.精神病学
psychic	a.灵魂的,精神的,心灵的,对超自然力敏感的;通灵的n.巫师,灵媒,心灵研究
psycho	a.心理学上的n.心理学
psychoanalysis	n.心理分析
psychoanalyst	n.精神分析学家
psychological	a.心理(学)的
psychologically	ad.精神上,心理上
psychologist	n.心理学家
psychology	n.心理学
psychopathic	a.精神病的
psychopathology	n.精神病理学
psychosis	n.精神病,精神不正常,精神状态
psychosomatic	a.受心理影响的,经神身体相关的
psychotherapist	n.精神治疗医师
psychotherapy	n.心理疗法,精神疗法
psychotic	n.&a.精神病的,疯子
ptarmigan	n.松鸡类
pterodactyl	n.翼手龙
ptolemy	托勒密(公元2世纪的古希腊天文学家、地理学家、数学家,地心说的创立者)
pub	n.酒吧,酒馆
puberty	n.青春期
pubescent	a.青春期
public	a.公共的,公众的n.公众,民众
publican	n.收税员,酒馆老板
publication	n.出版,发行,出版物,公布,发表
publicist	n.国际法学家,政治评论家,政治记者
publicity	n.公众的注意,宣传,宣扬,宣传品,广告
publicize	v.宣传,公布,广告
publicly	ad.公开地
publish	v.出版vt.出版,发行
publisher	n.出版者,发行人
publishing	n.出版
puck	圆盘
pucker	vt.折叠n.皱纹
puckish	a.爱恶作剧的,精灵似的,淘气的,顽皮的
pudding	n.布丁
puddle	n.水池,地上积水,胶泥v.搅浊,在泥污中打滚,排尿
pueblo	普韦布洛(美国科罗拉多州中部一城市)
puerile	a.孩子气的,天真的,未成熟的
puerperal	a.分娩的
puff	n.一阵喷烟,粉扑,泡夫v.喷出,张开,夸张
puffs	n.被动的水下发射控制的现实性研究
pugilism	n.拳击,搏击
pugnacious	a.好斗的
pugnacity	n.好斗性
puissance	n.力,势,权力
puissant	a.强力的,强盛的,有权力的
puke	v.&n.呕吐
pulchritude	n.美丽
pulchritudinous	a.美丽的
pull	n.拉,拖,拉绳vi.拔,拉,拖vt.拉
pullet	n.小母鸡,小姑娘
pulley	n.滑车,滑轮
pullover	n.毛线套衫
pullulate	v.繁殖,剧增
pull-up	引体向上
pulmonary	a.肺的,肺状的
pulp	n.果肉,纸浆v.化成纸浆,除去...果肉,制成纸浆
pulpit	n.讲道坛
pulsar	n.电波球体
pulsate	v.搏动,悸动,有规律的鼓动
pulse	n.脉冲,脉波,脉搏v.跳动,脉跳
pulverize	v.磨成粉,粉碎
puma	n.美洲狮
pummel	v.(用拳)接连地打,打击
pump	n.抽水机,打气筒v.抽水,打气,盘问
pumpernickel	n.裸麦粗面包
pumpkin	n.南瓜
pun	n.双关语
